"collection","filename","description","userSet","log2OR_unadj","qValue_unadj","support_unadj","log2OR_adj","qValue_adj","support_adj","cell","comparison","sig_unadj","sig_adj","agreement"
"TF_motifs","regionSet_2.bed","MA0009.2_T","gain",0.99657597554938,0.0242174741896914,24,0.602072960381577,0.572640646554022,11,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_6.bed","MA0009.2_T","gain",0.99657597554938,0.0242174741896914,24,0.602072960381577,0.572640646554022,11,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_37.bed","MA0076.2_ELK4","loss",0.633683423676403,0.029261599588226,59,0.69590873634016,0.0716855755355482,41,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_53.bed","MA0076.2_ELK4","loss",0.633683423676403,0.029261599588226,59,0.69590873634016,0.0716855755355482,41,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_5.bed","MA0018.3_CREB1","loss",1.00546754026065,0.0298643803404266,23,1.24610721261329,0.024462830361606,18,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_9.bed","MA0018.3_CREB1","loss",1.00546754026065,0.0298643803404266,23,1.24610721261329,0.024462830361606,18,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_286.bed","MA0779.1_PAX1","gain",0.871145757504705,0.0306912072068981,29,1.30979742086005,0.00399028276583967,23,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_383.bed","MA0779.1_PAX1","gain",0.871145757504705,0.0306912072068981,29,1.30979742086005,0.00399028276583967,23,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"EnsemblRegBuild","regionSet_2.bed","Enhancer","loss",0.735410380564251,0.0307084114364555,42,0.402833145766005,0.593731178359241,23,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_103.bed","MA0474.2_ERG","loss",0.854046395810153,0.0308600133606957,31,0.869088193561654,0.113363840764455,21,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
