"embedding","Dim","dim_index","var_share_between_pseudobulks","covariate","r2","adj_r2","p","n","n_group","unit","p_adj"
"IterativeLSI","Dim3",3,0.252155997177607,"QC_meanFRIP",0.0179736212264516,0.016650135540773,0.000100550067671078,834,91,"pseudobulk (LMM)",0.000201100135342156
"IterativeLSI","Dim4",4,0.0726065653939607,"CellType",0.958152010548401,0.957523147318938,0,834,91,"pseudobulk (LMM)",0
"IterativeLSI","Dim4",4,0.0726065653939607,"Cohort",0.816015079328435,0.80967077171907,7.08577536094989e-32,91,91,"sample",3.54288768047494e-31
"IterativeLSI","Dim4",4,0.0726065653939607,"Control_status",0.0316018364967405,0.0207209582551309,0.0918300830678374,91,91,"sample",0.306100276892791
"IterativeLSI","Dim4",4,0.0726065653939607,"Exposure_group",0.833834978644262,0.805781143869916,1.0509570457307e-24,91,91,"sample",5.2547852286535e-24
"IterativeLSI","Dim4",4,0.0726065653939607,"Age",0.0352121894735213,0.0191323926314133,0.144155502435947,62,62,"sample",0.288311004871893
"IterativeLSI","Dim4",4,0.0726065653939607,"Sex_observed",0.00140847694777706,-0.0152347151030934,0.772124465798506,62,62,"sample",0.870654208936376
"IterativeLSI","Dim4",4,0.0726065653939607,"Sex_predicted",0.000384330909686851,-0.0108473058216652,0.853663489246193,91,91,"sample",0.853663489246193
"IterativeLSI","Dim4",4,0.0726065653939607,"Sampling_day",0.00531335966310251,-0.0154092786772495,0.614919776439598,50,50,"sample",0.987602938191756
"IterativeLSI","Dim4",4,0.0726065653939607,"Batch_C19",0.00104842350895496,-0.0423842537297863,0.877887127130625,25,25,"sample",0.895281307560544
"IterativeLSI","Dim4",4,0.0726065653939607,"Supplier",0.773062184048231,0.767904506412964,4.56985394039874e-29,91,91,"sample",2.28492697019937e-28
"IterativeLSI","Dim4",4,0.0726065653939607,"QC_tss_cutoff",0.438279173527368,0.431967703567002,8.97208952645022e-13,91,91,"sample",8.97208952645022e-12
"IterativeLSI","Dim4",4,0.0726065653939607,"QC_frag_cutoff",0.013843678432499,0.0027632703249989,0.266678444680866,91,91,"sample",0.333348055851083
"IterativeLSI","Dim4",4,0.0726065653939607,"QC_nCells",0.000247672085938851,-0.00109970301906648,0.64945802553289,834,91,"pseudobulk (LMM)",0.64945802553289
"IterativeLSI","Dim4",4,0.0726065653939607,"QC_meanTSS",0.0227892282329359,0.0214722325836542,1.16112984114363e-05,834,91,"pseudobulk (LMM)",1.45141230142954e-05
"IterativeLSI","Dim4",4,0.0726065653939607,"QC_meanLog10Frags",0.0138060600182264,0.0124769576732375,0.000661479914471079,834,91,"pseudobulk (LMM)",0.00110246652411846
"IterativeLSI","Dim4",4,0.0726065653939607,"QC_meanFRIP",0.00683599905644784,0.00549750309830288,0.016765097104905,834,91,"pseudobulk (LMM)",0.0239501387212929
"IterativeLSI","Dim5",5,0.0622711891091169,"CellType",0.782383010383453,0.779112809719817,2.09160931538988e-235,834,91,"pseudobulk (LMM)",2.61451164423735e-235
"IterativeLSI","Dim5",5,0.0622711891091169,"Cohort",0.950262964839673,0.94854789466173,1.4796793249017e-56,91,91,"sample",1.4796793249017e-55
"IterativeLSI","Dim5",5,0.0622711891091169,"Control_status",0.0579760045574688,0.0473914652828336,0.0214993452527515,91,91,"sample",0.107496726263758
"IterativeLSI","Dim5",5,0.0622711891091169,"Exposure_group",0.960734218155711,0.95410493031187,1.69457685066315e-48,91,91,"sample",1.69457685066315e-47
"IterativeLSI","Dim5",5,0.0622711891091169,"Age",0.090462870583853,0.0753039184269173,0.0175318788627619,62,62,"sample",0.0584395962092063
"IterativeLSI","Dim5",5,0.0622711891091169,"Sex_observed",0.000445478387714567,-0.0162137636391568,0.870654208936376,62,62,"sample",0.870654208936376
"IterativeLSI","Dim5",5,0.0622711891091169,"Sex_predicted",0.0125818026430158,0.00148721615585867,0.289793972752771,91,91,"sample",0.579587945505542
