"embedding","PC","pc_index","var_explained","covariate","r2","p","n","p_adj"
"IterativeLSI","PC7",7,0.0413023464843655,"QC_meanTSS",0.00570095773660538,0.0292317602871869,834,0.0365397003589837
"IterativeLSI","PC7",7,0.0413023464843655,"QC_meanLog10Frags",2.56419464200831e-05,0.883906369532427,834,0.883906369532427
"IterativeLSI","PC7",7,0.0413023464843655,"QC_meanFRIP",0.0001193881665412,0.752698745887004,834,0.752698745887004
"IterativeLSI","PC8",8,0.0354632033183265,"CellType",0.547892066425467,1.5453301066223e-133,834,1.71703345180256e-133
"IterativeLSI","PC8",8,0.0354632033183265,"Cohort",0.0800102392050086,6.15557895641073e-15,834,1.23111579128215e-14
"IterativeLSI","PC8",8,0.0354632033183265,"Control_status",8.50230325379235e-06,0.932991643583734,834,0.932991643583734
"IterativeLSI","PC8",8,0.0354632033183265,"Exposure_group",0.0952493640689518,3.53159372001368e-12,834,5.88598953335614e-12
"IterativeLSI","PC8",8,0.0354632033183265,"Age",0.00597386217954352,0.0698520890888006,551,0.0997886986982866
"IterativeLSI","PC8",8,0.0354632033183265,"Sex_observed",0.00821073449331415,0.0334581087345744,551,0.334581087345744
"IterativeLSI","PC8",8,0.0354632033183265,"Sex_predicted",0.00121203751776301,0.315281491527388,834,0.559233022779623
"IterativeLSI","PC8",8,0.0354632033183265,"Sampling_day",6.74050646881844e-06,0.958202313225587,410,0.994033022875406
"IterativeLSI","PC8",8,0.0354632033183265,"QC_nCells",0.00588138352407266,0.026781990936592,834,0.0382599870522743
"IterativeLSI","PC8",8,0.0354632033183265,"QC_meanTSS",0.0606786211122388,5.41030641174999e-13,834,1.08206128235e-12
"IterativeLSI","PC8",8,0.0354632033183265,"QC_meanLog10Frags",0.00779660156245189,0.0107373180990483,834,0.0178955301650806
"IterativeLSI","PC8",8,0.0354632033183265,"QC_meanFRIP",0.00848278624783643,0.00777957075495817,834,0.0129659512582636
"IterativeLSI","PC9",9,0.0328238885340097,"CellType",0.575912282986171,7.34259613580448e-145,834,1.04894230511493e-144
"IterativeLSI","PC9",9,0.0328238885340097,"Cohort",0.00579376039039313,0.185013662479661,834,0.185013662479661
"IterativeLSI","PC9",9,0.0328238885340097,"Control_status",9.55539912609542e-05,0.778034681859164,834,0.864482979843516
"IterativeLSI","PC9",9,0.0328238885340097,"Exposure_group",0.0102803484548458,0.807426865571171,834,0.807426865571171
"IterativeLSI","PC9",9,0.0328238885340097,"Age",0.00675884781922299,0.0537702791550384,551,0.0896171319250639
"IterativeLSI","PC9",9,0.0328238885340097,"Sex_observed",0.00335224817747105,0.174740337101224,551,0.444476398487546
"IterativeLSI","PC9",9,0.0328238885340097,"Sex_predicted",7.43175068749682e-07,0.980167742743067,834,0.980167742743067
"IterativeLSI","PC9",9,0.0328238885340097,"Sampling_day",5.32005273968985e-06,0.962863097214552,410,0.994033022875406
"IterativeLSI","PC9",9,0.0328238885340097,"QC_nCells",0.0439087112415994,9.94318926289535e-10,834,4.97159463144767e-09
"IterativeLSI","PC9",9,0.0328238885340097,"QC_meanTSS",0.00379353640978653,0.0754481664080764,834,0.0838312960089738
"IterativeLSI","PC9",9,0.0328238885340097,"QC_meanLog10Frags",0.00294706263520414,0.117218236121063,834,0.139506763239864
"IterativeLSI","PC9",9,0.0328238885340097,"QC_meanFRIP",0.00354768116572578,0.0856047329535429,834,0.107005916191929
"IterativeLSI","PC10",10,0.0296840175067098,"CellType",0.553913603498047,6.56106320483908e-136,834,8.20132900604886e-136
"IterativeLSI","PC10",10,0.0296840175067098,"Cohort",0.0634563579134259,9.01044101449246e-12,834,1.50174016908208e-11
"IterativeLSI","PC10",10,0.0296840175067098,"Control_status",0.0372952347071263,1.89027415813628e-08,834,1.89027415813628e-07
"IterativeLSI","PC10",10,0.0296840175067098,"Exposure_group",0.108609766164108,1.6010744964301e-14,834,4.00268624107525e-14
"IterativeLSI","PC10",10,0.0296840175067098,"Age",0.0181063090209163,0.00154652987411512,551,0.0077326493705756
"IterativeLSI","PC10",10,0.0296840175067098,"Sex_observed",0.000708710318105727,0.532896291458128,551,0.66612036432266
"IterativeLSI","PC10",10,0.0296840175067098,"Sex_predicted",0.00108577489339857,0.341895052373089,834,0.559233022779623
"IterativeLSI","PC10",10,0.0296840175067098,"Sampling_day",0.00031044229471565,0.722062629108131,410,0.994033022875406
"IterativeLSI","PC10",10,0.0296840175067098,"QC_nCells",0.0181498111757158,9.51682996452179e-05,834,0.00031722766548406
"IterativeLSI","PC10",10,0.0296840175067098,"QC_meanTSS",0.00336915663751552,0.0939014619084159,834,0.0939014619084159
"IterativeLSI","PC10",10,0.0296840175067098,"QC_meanLog10Frags",0.00281815677505612,0.125556086915878,834,0.139506763239864
"IterativeLSI","PC10",10,0.0296840175067098,"QC_meanFRIP",0.00231167554746108,0.165374183974239,834,0.18374909330471
"Harmony","PC1",1,0.377945821502994,"CellType",0.984247747134469,0,834,0
"Harmony","PC1",1,0.377945821502994,"Cohort",0.000147569993902549,0.988998286421872,834,0.988998286421872
"Harmony","PC1",1,0.377945821502994,"Control_status",0.000274030962458995,0.633094274466589,834,0.703438082740654
"Harmony","PC1",1,0.377945821502994,"Exposure_group",0.00241210247844054,0.999777826659473,834,0.999777826659473
"Harmony","PC1",1,0.377945821502994,"Age",6.23426700637202e-05,0.853290450985113,551,0.853290450985113
