"embedding","Dim","covariate","r2_grouped","p_grouped","n_grouped","n_groups","unit_grouped","r2_cell","p_cell","n_cells","per_cell_value","p_cell_adj"
"IterativeLSI","Dim6","Sex_observed",0.000691268869987462,0.870654208936376,62,62,"per sample",0.00115077535059594,5.99276466582352e-41,155962,FALSE,1.1985529331647e-40
"IterativeLSI","Dim6","Sex_predicted",0.0407371862358766,0.440797641091524,91,91,"per sample",0.0223627412880686,0,271299,FALSE,0
"IterativeLSI","Dim6","Days_from_onset",0.00850496941762574,0.987602938191756,50,50,"per sample",0.0130259417154023,0,130407,FALSE,0
"IterativeLSI","Dim6","QC_nCells",0.000432462644788832,0.5062425109381,834,91,"per pseudobulk, sample-adjusted",0.0799150632313005,0,271299,FALSE,0
"IterativeLSI","Dim6","QC_meanTSS",0.0430539907053044,7.23590422989536e-06,834,91,"per pseudobulk, sample-adjusted",0.0410464481836575,0,271299,TRUE,0
"IterativeLSI","Dim6","QC_meanLog10Frags",0.497159951403097,4.18317327077919e-65,834,91,"per pseudobulk, sample-adjusted",0.418300173609092,0,271299,TRUE,0
"IterativeLSI","Dim6","QC_meanFRIP",0.437791294042892,1.49529740517437e-45,834,91,"per pseudobulk, sample-adjusted",0.320587897521272,0,271299,TRUE,0
"IterativeLSI","Dim7","CellType",0.906917014476797,0,834,91,"per pseudobulk, sample-adjusted",0.619830226803093,0,271299,TRUE,0
"IterativeLSI","Dim7","Cohort",0.18303460376892,0.000729116050413843,91,91,"per sample",0.00718852643730299,0,271299,FALSE,0
"IterativeLSI","Dim7","Control_status",0.00285566374295428,0.683229066033654,91,91,"per sample",1.27910291235967e-05,0.0624843739708608,271299,FALSE,0.0694270821898453
"IterativeLSI","Dim7","Exposure_group",0.318664622313067,0.00399161288323335,91,91,"per sample",0.0120226639740403,0,271299,FALSE,0
"IterativeLSI","Dim7","Age",0.174973671114466,0.00358206919144826,62,62,"per sample",0.000102164859041602,6.55761922987002e-05,155962,FALSE,9.36802747124289e-05
"IterativeLSI","Dim7","Sex_observed",0.001486161607353,0.870654208936376,62,62,"per sample",0.000678990173544419,7.63503641757743e-25,155962,FALSE,1.09071948822535e-24
"IterativeLSI","Dim7","Sex_predicted",0.0186923415412892,0.514010631059144,91,91,"per sample",0.00664806531522561,0,271299,FALSE,0
"IterativeLSI","Dim7","Days_from_onset",0.00540074342433489,0.987602938191756,50,50,"per sample",0.00155244703317163,5.64589513650225e-46,130407,FALSE,1.41147378412556e-45
"IterativeLSI","Dim7","QC_nCells",0.018175558172789,0.000463540227979026,834,91,"per pseudobulk, sample-adjusted",0.00731040478075987,0,271299,FALSE,0
"IterativeLSI","Dim7","QC_meanTSS",0.0265004362331505,3.74182262684236e-06,834,91,"per pseudobulk, sample-adjusted",0.0115334590723857,0,271299,TRUE,0
"IterativeLSI","Dim7","QC_meanLog10Frags",0.0640588735735598,5.58654345546535e-13,834,91,"per pseudobulk, sample-adjusted",0.0634845586867998,0,271299,TRUE,0
"IterativeLSI","Dim7","QC_meanFRIP",0.0526291785448785,4.83287733798648e-11,834,91,"per pseudobulk, sample-adjusted",0.0503566375523588,0,271299,TRUE,0
"IterativeLSI","Dim8","CellType",0.747190274913116,2.39047594265341e-293,834,91,"per pseudobulk, sample-adjusted",0.393477943515164,0,271299,TRUE,0
"IterativeLSI","Dim8","Cohort",0.172384971278821,0.00109118724664755,91,91,"per sample",0.0229647525463067,0,271299,FALSE,0
"IterativeLSI","Dim8","Control_status",0.0041491302872733,0.680142112970754,91,91,"per sample",5.57691451500766e-09,0.968972295407824,271299,FALSE,0.968972295407824
"IterativeLSI","Dim8","Exposure_group",0.301560838004464,0.0068972674088054,91,91,"per sample",0.0342261287961976,0,271299,FALSE,0
"IterativeLSI","Dim8","Age",0.0741227734591966,0.0807397632970177,62,62,"per sample",4.6248039796923e-06,0.395723127297034,155962,FALSE,0.395723127297034
"IterativeLSI","Dim8","Sex_observed",0.0131898800408238,0.870654208936376,62,62,"per sample",2.62272358144958e-06,0.522457575355075,155962,FALSE,0.522457575355075
"IterativeLSI","Dim8","Sex_predicted",0.0179396442023938,0.514010631059144,91,91,"per sample",0.00388582436818934,1.05878088600227e-231,271299,FALSE,1.51254412286038e-231
"IterativeLSI","Dim8","Days_from_onset",0.00276002709607053,0.987602938191756,50,50,"per sample",0.00245845134179979,8.8252675111528e-72,130407,FALSE,2.94175583705093e-71
