"embedding","Dim","dim_index","var_share_between_samples","var_share_cells","depth_cor","covariate","r2","adj_r2","p","r2_partial_adjCohort","adj_r2_partial_adjCohort","p_adjCohort","n","n_group","unit","p_adj","p_adjCohort_bh"
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"Batch_C19",0.0170603895532,-0.0320865909691399,0.562338980648658,0.0170603895532,-0.0320865909691399,0.562338980648658,22,22,"donor",0.702923725810823,0.702923725810823
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"Supplier",0.0377265086321927,0.00717814382686555,0.297785429810366,NA,NA,NA,66,66,"donor",0.393184620056159,NA
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"QC_tss_cutoff",0.200962498718088,0.169000998666811,0.000514075213674974,0.377426177557115,0.3525232246594,0.000223048108729887,92,66,"sample (LMM)",0.00128518803418744,0.000941848910421582
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"QC_frag_cutoff",0.0281327987297002,-0.0107418893211118,0.304518970448762,0.0369238132130252,-0.00159923425845387,0.347995467226368,92,66,"sample (LMM)",0.32240714789233,0.347995467226368
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"QC_nCells",0.249535912875611,0.219517349390636,0.00723920419095983,0.290690197438262,0.262317805335792,0.012584849555659,92,66,"sample (LMM)",0.0180980104773996,0.0314621238891475
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"QC_meanTSS",0.166620783997922,0.133285615357838,0.00798027118148937,0.428423795511137,0.405560747331583,0.000814706436335227,92,66,"sample (LMM)",0.0199506779537234,0.00407353218167614
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"QC_meanLog10Frags",-0.00306682435553863,-0.0431894973297602,0.745424576767566,-0.0259385929302803,-0.0669761366474915,0.34406150540012,92,66,"sample (LMM)",0.745424576767566,0.34406150540012
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"QC_meanFRIP",0.192694384151806,0.160402159517879,0.00384590346211068,0.376089505486698,0.351133085706165,0.00129445852052618,92,66,"sample (LMM)",0.00961475865527669,0.00233002533694712
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"Cohort",0.172292643582832,0.132242287627163,0.00803946398344002,NA,NA,NA,66,66,"donor",0.0803946398344002,NA
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"Control_status",0.00619083488378709,-0.0335615317208613,0.425528016143133,-0.0753535169617059,-0.118367657640174,0.130255196267827,92,66,"sample (LMM)",0.531910020178916,0.260510392535654
