"motif","zdiff","p","donors_consistent","padj","mlog10padj","robust","group"
"ZNF683_253",-0.1187,0.001765,3,0.002455,2.61,FALSE,"NO"
"PAX7_605",-0.1186,0.0001849,3,0.0002799,3.553,FALSE,"NO"
"HNF4G_688",-0.1186,0.001341,2,0.001892,2.723,FALSE,"NO"
"NR5A1_677",-0.1176,0.005294,3,0.007034,2.153,FALSE,"NO"
"MYC_55",-0.1163,3.393e-05,4,5.41e-05,4.267,TRUE,"NO"
"NKX26_544",0.1157,2.015e-05,4,3.254e-05,4.488,TRUE,"NO"
"SOX17_764",0.1157,8.4e-05,4,0.0001311,3.883,TRUE,"NO"
"E2F3_313",-0.1149,0.0002889,3,0.0004278,3.369,FALSE,"NO"
"NR2F1_692",0.1148,0.001547,2,0.002171,2.663,FALSE,"NO"
"HINFP_245",0.1147,5.734e-05,3,9.027e-05,4.044,FALSE,"NO"
"SPZ1_810",-0.1146,0.0005625,3,0.000816,3.088,FALSE,"NO"
"OLIG3_79",0.114,0.001641,4,0.002296,2.639,TRUE,"NO"
"TLX2_436",-0.1131,0.0002688,3,0.0003993,3.399,FALSE,"NO"
"ZNF232_233",0.1125,0.0002753,4,0.0004083,3.389,TRUE,"NO"
"KLF8_174",-0.1118,0.0008869,2,0.001268,2.897,FALSE,"NO"
"AHRR_17",-0.1112,0.0001568,3,0.0002395,3.621,FALSE,"NO"
"AHR_28",-0.1112,0.0001568,3,0.0002395,3.621,FALSE,"NO"
"GLI1_186",-0.111,0.005807,4,0.007681,2.115,TRUE,"NO"
"FOXA3_366",0.1102,4.429e-05,3,7.01e-05,4.154,FALSE,"NO"
"HOXD1_460",0.1089,0.0004311,3,0.0006308,3.2,FALSE,"NO"
"XBP1_109",0.1072,0.0001941,3,0.0002933,3.533,FALSE,"NO"
"PRDM4_185",-0.1072,0.0003197,4,0.0004717,3.326,TRUE,"NO"
"ID2_35",-0.1069,0.0001156,3,0.0001777,3.75,FALSE,"NO"
"ID1_47",-0.1069,0.0001156,3,0.0001777,3.75,FALSE,"NO"
"PROX1_712",-0.1063,0.0002218,3,0.0003329,3.478,FALSE,"NO"
"ZNF219_229",-0.1057,8.169e-05,2,0.0001277,3.894,FALSE,"NO"
"OLIG2_100",0.1056,0.002231,4,0.003073,2.512,TRUE,"NO"
"OVOL1_246",0.1055,0.001793,4,0.002489,2.604,TRUE,"NO"
"HOXA3_415",-0.1052,1.661e-05,3,2.703e-05,4.568,FALSE,"NO"
