"Cell_Type","Donor","Exposure","Residuals","Motif"
0.323348690595994,0.0101581060323377,0.0392071103839919,0.627286092987677,"lef1"
0.625774404050708,0.00691793005330778,0.0886933682083419,0.278614297687642,"lin54"
0.723779837496878,0.0117598849584411,0.044710801537099,0.219749476007582,"maf"
0.267682516166377,0.060504286906083,0.157198324763696,0.514614872163844,"mbd2"
0.277188247829555,0.0533246309990395,0.100960659471503,0.568526461699903,"mecp2"
0.772578510365835,0.0119197627771777,0.0188546088388258,0.196647118018162,"mef2"
0.475371405467528,3.44751933491288e-12,0.0224276340305399,0.502200960498484,"mfz1"
0.243622771430835,0.0530541256562911,0.218387643190385,0.484935459722488,"mies"
0.559743625834885,0.00121216802059551,0.0944900831440011,0.344554123000518,"mtf1"
0.664855569352826,0.00341254852762989,0.0316056825520154,0.300126199567528,"myb_1"
0.623830481256098,0.00224628274447875,0.0233640293702935,0.350559206629129,"myb_2"
0.655435866247979,0.0157017903541808,0.0404441880852318,0.288418155312609,"myb_3"
0.699293364203127,0.0137719921001625,0.044602665144325,0.242331978552386,"myb_4"
0.550020999790701,0.0454832465039718,0.032509090679554,0.371986663025773,"myb_5"
0.714337874486552,0.0079794783445884,0.0255672001486603,0.252115447020199,"mzf1"
0.60744092243958,0.00525938635761761,0.17963798459305,0.207661706609752,"nfac_2"
0.476297247443142,0.0405128708849277,0.181262716576978,0.301927165094953,"nfat_1"
0.471500875685627,0.0247243709847272,0.160090089513395,0.34368466381625,"nfat_2"
0.135468999405222,0.0806352801811376,0.0415217987108047,0.742373921702836,"nfat_3"
0.230352337193856,0.00436575643034653,0.0197195870433619,0.745562319332436,"nfat_4"
0.675837087734488,0.0127489102703007,0.0601151502058476,0.251298851789363,"nfi_1"
0.695362088073887,0.00888045202526611,0.0479698823231443,0.247787577577703,"nfi_2"
0.763999786791822,0.00874338137253085,0.0219358374476757,0.205320994387972,"nfi_3"
0.591751466420264,0.0202267257505687,0.015417012140359,0.372604795688808,"nfkb_1"
0.50360797671552,0.0238649987912931,0.0170664754322324,0.455460549060954,"nfkb_2"
0.739127806662399,0.00184698727192671,0.00410877595474256,0.254916430110931,"nfkb_3"
0.55807960004717,0.122758562615513,0.0724461105477683,0.246715726789549,"nfy"
0.697883551524297,0.0160813961054298,0.0539731375785454,0.232061914791727,"nr_1"
0.410223524174543,0.000656348267749834,0.00131424250225188,0.587805885055456,"nr_10"
0.72597160382694,0.0463894864574998,0.0231736092990262,0.204465300416534,"nr_11"
0.756676015171928,0.00441970964831188,0.0242526192132684,0.214651655966492,"nr_12"
0.583383242744174,0.017018350466978,0.00996437820218491,0.389634028586663,"nr_13"
0.413559801376001,0.00912246867546143,0.0130447063346698,0.564273023613868,"nr_14"
0.582710339225868,0.0404748946290159,0.0456111725030299,0.331203593642086,"nr_15"
0.70981824636414,0.0183961894839985,0.0491481202115024,0.222637443940359,"nr_16"
0.584601973882738,0.0528771969572501,0.0971561106938609,0.265364718466151,"nr_17"
0.459834602815702,0.047847325036292,0.0162889652053643,0.476029106942641,"nr_18"
0.652605650833899,0.0153407960338339,0.0895771133452122,0.242476439787055,"nr_19"
0.423537983049475,0.00692677577837518,0.0123610414762021,0.557174199695948,"nr_2"
0.513121230244094,0.0274297476633489,0.0866389869077043,0.372810035184853,"nr_20"
0.714596274408821,0.0146691289081558,0.0491856027633555,0.221548993919668,"nr_3"
0.229917644062146,0.0190277692089388,0.0163750616629821,0.734679525065933,"nr_4"
0.11526587028425,0.0386533713455052,0.082285995808439,0.763794762561805,"nr_5"
0.429016790932589,0,0.00755838207258471,0.563424826994827,"nr_6"
0.709892699299765,0.00933523104234458,0.0197040887132569,0.261067980944634,"nr_7"
0.170965476862017,0.0338410130179594,0.0356336543721513,0.759559855747872,"nr_8"
0.351029200631085,0.000507060288889047,0.0234014034472731,0.625062335632753,"nr_9"
0.256044634070942,0.0180122905590217,0.103680031428098,0.622263043941938,"nr2e3"
0.63836640136451,0.0230016620938028,0.155089296214533,0.183542640327154,"nrf1"
0.422690430243891,8.12354610714767e-10,0.0429336902144619,0.534375878729292,"oct4sox2"
0.338848477430058,0.108504956564005,0.0413400098743786,0.511306556131559,"osr2"
0.291207645033572,0.0245254600484243,0,0.684266894918004,"ovol1"
0.6782696266095,0.0211077121817081,0.0771548583670969,0.223467802841695,"p53_like_1"
