"Cell_Type","Condition","Donor","Residuals","Motif"
0.749389015429481,0.0675975415264261,4.37977766852652e-16,0.183013443044093,"irf_2"
0.771484815934528,0.03609915349378,0.00549512288037091,0.186920907691321,"irf_3"
0.439435922537898,0.127946380537801,0.0206013256446735,0.412016371279628,"irf_4"
0.585221341931076,0.154661069123536,0.0475243231145317,0.212593265830857,"kaiso"
0.483621574724475,0.0657908284337493,0.0728768423040419,0.377710754537734,"klf_sp_1"
0.620665695533953,0.0537480414076159,0.0177704972260416,0.307815765832389,"klf_sp_2"
0.187092990456676,0.36157057527449,0.10263757500959,0.348698859259243,"klf_sp_3"
0.320639415519195,0.0484575943284954,0.000783433916891391,0.630119556235418,"lef1"
0.628912033819476,0.08178926932164,0.00310582252786169,0.286192874331023,"lin54"
0.727412797682618,0.041326086625116,0.00759608250635471,0.223665033185911,"maf"
0.265961002760447,0.166463367758261,0.0620679453947112,0.505507684086581,"mbd2"
0.274996013684862,0.0899899260732748,0.0591408801150356,0.575873180126828,"mecp2"
0.772758006138732,0.0205322913848657,0.00880029414020208,0.1979094083362,"mef2"
0.47698272601019,0.0170753815209308,4.27295920061402e-08,0.505941849739287,"mfz1"
0.243837697807436,0.212806960700799,0.0554934336313776,0.487861907860387,"mies"
0.564423823291251,0.0784453647609924,0.000266269267422676,0.356864542680334,"mtf1"
0.666621103069391,0.0301221521144071,4.54308975039135e-11,0.303256744770771,"myb_1"
0.625706044401385,0.0241095313002396,0,0.350184424298375,"myb_2"
0.658204859775525,0.0339910800371468,0.0142527349688845,0.293551325218444,"myb_3"
0.705739521614932,0.0408497853192587,0.00729004295279923,0.24612065011301,"myb_4"
0.553572234502108,0.0302522437279083,0.0405228000592857,0.375652721710699,"myb_5"
0.718293821927988,0.0197053615407432,0.00579931191041285,0.256201504620856,"mzf1"
0.611093017476085,0.168990662335579,0.00404359980962745,0.215872720378709,"nfac_2"
0.476573960562045,0.166006164221812,0.0517104825700174,0.305709392646126,"nfat_1"
0.472073427751089,0.154791852503004,0.0223142570167523,0.350820462729154,"nfat_2"
0.135280159621787,0.0461092753280386,0.0529388105619708,0.765671754488203,"nfat_3"
0.228315009425777,0.0244270646270522,9.50864290826755e-14,0.747257925947075,"nfat_4"
0.681164663820508,0.0525219237141998,0.0111094056875681,0.255204006777724,"nfi_1"
0.700087876263474,0.0413050219322715,0.0105103675108196,0.248096734293435,"nfi_2"
0.767965742360874,0.0196471716552688,0.00541380985654958,0.206973276127308,"nfi_3"
0.5920234722736,0.0150651999716324,0.0134954692714974,0.37941585848327,"nfkb_1"
0.502683785684862,0.0152829268286477,0.0176311888288359,0.464402098657654,"nfkb_2"
0.739363840439204,0.0037714560050347,5.18062617459184e-14,0.25686470355571,"nfkb_3"
0.57049315032931,0.0693733746128837,0.117625258762065,0.242508216295741,"nfy"
0.703848128898734,0.0492748236279036,0.0102079989185163,0.236669048554846,"nr_1"
0.410018669231293,0.00075328217277368,6.84567563460801e-07,0.58922736402837,"nr_10"
0.734979184327561,0.0265670265274518,0.0335296453719549,0.204924143773033,"nr_11"
0.759433457944546,0.0228437272314549,1.40666954692545e-12,0.217722814822592,"nr_12"
0.584310582415886,0.00904578519876019,0.0211618754503278,0.385481756935026,"nr_13"
0.413040763299971,0.0143142937791399,4.87594716023917e-09,0.572644938044942,"nr_14"
0.587263458636051,0.0396320557674792,0.0342959518066218,0.338808533789848,"nr_15"
0.715303700307082,0.0427306983733488,0.0173047899157263,0.224660811403843,"nr_16"
0.59392850318383,0.09074554140396,0.0463767860943916,0.268949169317819,"nr_17"
0.462644860175624,0.0155088685189971,0.0432080155704415,0.478638255734938,"nr_18"
