"","name","Log2FC_atac","FDR_atac","isDiff_1","Log2FC_rna","FDR_rna","isDiff_2"
"177","AGA",-0.0904670111772495,0.828098419714357,FALSE,-0.202770186339366,1,FALSE
"178","AGAP1",0.218629395000252,0.358149548819968,FALSE,-1.32628735759301,1,FALSE
"179","AGAP2",0.302548103927203,0.393704606992072,FALSE,0.49250245952688,1,FALSE
"180","AGAP3",-0.229592082431667,0.687709389565342,FALSE,-0.776907502949306,1,FALSE
"181","AGAP4",-0.121306768800752,0.964125188661394,FALSE,0.481067564464596,1,FALSE
"182","AGAP6",0.981966404124139,0.582872270975993,FALSE,0.145912310405248,1,FALSE
"183","AGBL5",-0.148198035073371,0.914644729919281,FALSE,-0.167841853036414,1,FALSE
"184","AGER",0.162257622554245,0.981918046917548,FALSE,0.54443354855276,1,FALSE
"185","AGFG1",0.00502023940186503,0.745428181992056,FALSE,0.438393952371614,0.000397721789421444,FALSE
"186","AGGF1",-0.217990384997471,0.824071530109833,FALSE,0.774469910660778,1,FALSE
"187","AGK",0.118622517110009,0.780502336740525,FALSE,0.0936503879889745,1,FALSE
"188","AGL",-0.402626882483214,0.963223155425407,FALSE,-0.685140455076269,1,FALSE
"189","AGO1",-0.0206242735746022,1,FALSE,-0.325694022178152,1,FALSE
"190","AGO2",0.138099475302608,0.941868822551884,FALSE,-0.0121631014479657,1,FALSE
"191","AGO3",0.0662170662477207,0.478485369963141,FALSE,-0.0847006177361687,1,FALSE
"192","AGO4",-0.0923099097706825,0.938406800858385,FALSE,-0.35219473568264,1,FALSE
"193","AGPAT2",0.296559303855851,0.707082858970434,FALSE,0.527733157197143,1,FALSE
"194","AGPAT3",0.19693631036456,0.505461861233848,FALSE,0.596592719119036,1.32947994991376e-22,TRUE
"195","AGPAT4",-0.0804916925705203,0.855525102881752,FALSE,0.0831906163439351,1,FALSE
"196","AGPAT5",0.39685976511687,0.551406224601141,FALSE,-0.64321196849134,1,FALSE
"197","AGPS",-0.279644616411346,0.938721498424127,FALSE,0.256507306445438,1,FALSE
"198","AGTPBP1",0.0804630667625789,0.610606545178904,FALSE,-0.504982819528084,1,FALSE
