"","TF.name","cvar","mtfr","p_val","cor_score","significant","Call","Call.category","cell_type"
"4085","ASCL1",-0.933778723567099,0.891983755127493,0,-0.543404833899461,"negative_significant",NA,"inconclusive","Tc-Mem"
"4093","ATF7",0.661825583439601,0.544318583407958,5e-05,0.261836805284358,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4102","BATF",-0.553476759249711,-0.725893208838599,0,-0.545718653215613,"negative_significant",NA,"inconclusive","Tc-Mem"
"4103","BATF::JUN",-0.644975908054602,-0.711342466813706,0,-0.547058870411135,"negative_significant",NA,"inconclusive","Tc-Mem"
"4119","CEBPB",-1.20720064281799,0.586727400592375,0,-0.377275284883823,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4121","CEBPE",-1.26001500743885,0.580250816577539,0,-0.375135528029316,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4122","CEBPG",-1.48708225243617,0.569748188901529,0,-0.395996882177885,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4162","E2F4",0.544543588648314,0.802436441625302,1e-04,-0.244607171947252,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4165","E2F8",0.585414663416243,0.70768161979258,0,0.374256927032442,"positive_significant","Little effect","Little effect","Tc-Mem"
"4173","EHF",-2.36765946127344,0.787715763000608,0,-0.724265295420021,"negative_significant",NA,"inconclusive","Tc-Mem"
"4174","ELF1",-1.55774994494908,0.726089976240245,0,-0.68504704627798,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4175","ELF2",0.742189247717106,1.04961420340128,0,0.520128920988075,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4176","ELF2",0.742189247717106,1.04961420340128,0,0.520128920988075,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4177","ELF3",-2.23250174951712,0.755619574010248,0,-0.705316077983808,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4178","ELF3",-2.23250174951712,0.755619574010248,0,-0.705316077983808,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4179","ELF3",-2.23250174951712,0.755619574010248,0,-0.705316077983808,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4181","ELF5",-0.856604848006342,0.839452554148291,0,-0.686449747434093,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4182","ELF5",-0.856604848006342,0.839452554148291,0,-0.686449747434093,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4183","ELK1",0.956105913403777,0.909191763872254,0,0.575612127626677,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4184","ELK3",0.959692682066555,1.02421046157203,0,0.579160961551643,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4185","ELK3",0.959692682066555,1.02421046157203,0,0.579160961551643,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4186","ELK4",0.897443214837554,0.823478634372991,0,0.489222313787437,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4191","EOMES",1.60361239758131,-1.26962024145855,0,-0.559052602887333,"negative_significant",NA,"inconclusive","Tc-Mem"
"4192","ERF",1.03348414402033,0.903039297698881,0,0.529069865675425,"positive_significant",NA,"inconclusive","Tc-Mem"
"4193","ERG",1.0942862360373,0.835379943579598,0,0.518506888378461,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4194","ERG",1.0942862360373,0.835379943579598,0,0.518506888378461,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4195","ERG",1.0942862360373,0.835379943579598,0,0.518506888378461,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4196","ERG",1.0942862360373,0.835379943579598,0,0.518506888378461,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4197","ESR1",-0.659377023694594,1.00857166977091,0.01235,-0.154094054300475,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4198","ESR1",-0.659377023694594,1.00857166977091,0.01235,-0.154094054300475,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4200","ESRRA",-0.659755439854987,-1.27209068640726,0,-0.240035003769759,"negative_significant",NA,"inconclusive","Tc-Mem"
"4203","ETS1",1.21173093014033,0.874717607407798,0,0.526712690141721,"positive_significant",NA,"inconclusive","Tc-Mem"
"4204","ETS2",0.901565301914168,0.883650699914494,0,0.520090027910565,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4205","ETV1",-1.22643690795796,0.69777388950759,0,-0.659522348376772,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4206","ETV2",0.627365171904735,0.864270447226094,0,0.489473524812668,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4207","ETV3",0.996061241884559,0.856311722680484,0,0.521378600199885,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4208","ETV3",0.996061241884559,0.856311722680484,0,0.521378600199885,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4209","ETV4",-2.0454610576019,0.7170433525581,0,-0.684941843691272,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4211","ETV6",-0.657406772787478,0.771521904199565,0,-0.677798906849485,"negative_significant",NA,"inconclusive","Tc-Mem"
"4214","EWSR1-FLI1",-1.12719603269236,0.644096001769031,0,-0.556057198327598,"negative_significant",NA,"inconclusive","Tc-Mem"
"4216","FEV",1.08574580976918,0.88730026687239,0,0.561923677117322,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4217","FEV",1.08574580976918,0.88730026687239,0,0.561923677117322,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4218","FIGLA",-0.759968662016541,-0.774633555178962,0.00475,-0.172813738820233,"negative_significant",NA,"inconclusive","Tc-Mem"
"4219","FLI1",1.11461144358044,0.854603586554692,0,0.556048272047513,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4220","FLI1",1.11461144358044,0.854603586554692,0,0.556048272047513,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4221","FLI1",1.11461144358044,0.854603586554692,0,0.556048272047513,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4222","FLI1",1.11461144358044,0.854603586554692,0,0.556048272047513,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4223","FLI1",1.11461144358044,0.854603586554692,0,0.556048272047513,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4224","FLI1",1.11461144358044,0.854603586554692,0,0.556048272047513,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4225","FOS",-0.961462050421121,-0.551396265213354,0,-0.568642615655101,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4228","FOS::JUND",-1.04056558410199,-0.527264365711111,0,-0.556108205642365,"negative_significant",NA,"inconclusive","Tc-Mem"
"4229","FOSB::JUN",0.627272250308306,0.532108315186264,0,0.275457671101646,"positive_significant",NA,"inconclusive","Tc-Mem"
"4230","FOSB::JUNB",-0.609192902693543,-0.520105203993894,0,-0.527542196598131,"negative_significant",NA,"inconclusive","Tc-Mem"
"4231","FOSL1",-0.73360093908306,-0.548157871248787,0,-0.56434524938592,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4235","FOSL2",-1.27642531561493,-0.516199008891444,0,-0.568437948804596,"negative_significant",NA,"inconclusive","Tc-Mem"
"4236","FOSL2::JUN",-0.831367358449732,-0.515214084857167,0,-0.567665187985865,"negative_significant",NA,"inconclusive","Tc-Mem"
"4241","FOXA3",0.586506093108798,-0.573812246099797,0.00655,-0.164778811561445,"negative_significant",NA,"inconclusive","Tc-Mem"
"4245","FOXD1",0.509744319337516,-0.698861389788861,0.00235,-0.184905022785924,"negative_significant",NA,"inconclusive","Tc-Mem"
"4255","FOXN3",0.587117691105377,1.90609713437122,0.00045,0.21327019052826,"positive_significant",NA,"inconclusive","Tc-Mem"
"4256","FOXO3",0.561507025931285,1.4563792428341,2e-04,0.222649798122612,"positive_significant",NA,"inconclusive","Tc-Mem"
"4262","GABPA",-1.54789745991784,0.711028101770856,0,-0.701545362239604,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4289","HAND2",-0.802942112894162,0.745721535438781,0,-0.626912734454325,"negative_significant",NA,"inconclusive","Tc-Mem"
"4300","HIC2",-1.15107935233759,-1.3070230454514,0,0.304960939554738,"positive_significant",NA,"inconclusive","Tc-Mem"
"4303","HLF",-0.732777915132418,0.583015842309538,0,-0.345133025482936,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4307","HNF4A",-0.532281112111857,0.689058094296976,0.04385,-0.125285760511093,"negative_significant",NA,"inconclusive","Tc-Mem"
"4335","HOXC13",0.540826916221307,1.37233891463269,0,0.277295209616154,"positive_significant","MethylPlus","MethylPlus","Tc-Mem"
"4351","IKZF1",-2.09930873731346,0.806695670546484,0,-0.705629135378195,"negative_significant",NA,"inconclusive","Tc-Mem"
"4352","INSM1",-0.652470343407213,-0.858399338524667,5e-05,-0.259322782257743,"negative_significant",NA,"inconclusive","Tc-Mem"
"4370","JUNB",-0.513361560961476,-0.631431755259252,0,-0.572500043834411,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4371","JUND",-0.536958081706378,-0.507097410097027,0,-0.556223609692027,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4374","KLF13",0.674922161615385,-0.952486793143746,4e-04,0.216198647987363,"positive_significant","MethylPlus","MethylPlus","Tc-Mem"
"4375","KLF13",0.674922161615385,-0.952486793143746,4e-04,0.216198647987363,"positive_significant","MethylPlus","MethylPlus","Tc-Mem"
"4442","MYF5",-1.05849176639333,0.758752758333312,0,-0.709031323273203,"negative_significant",NA,"inconclusive","Tc-Mem"
"4445","MYOG",-0.750985670802843,1.03623896967243,0,-0.585959599018747,"negative_significant","Little effect","Little effect","Tc-Mem"
"4447","NEUROD1",-1.23445579252442,0.566314453717029,0,-0.636183951504795,"negative_significant",NA,"inconclusive","Tc-Mem"
"4457","NFE2",-0.906100237454135,-0.584435583935683,0,-0.550345016665046,"negative_significant",NA,"inconclusive","Tc-Mem"
"4460","NFIB",-1.4565508718461,0.552296068497092,0,-0.482902507487714,"negative_significant",NA,"inconclusive","Tc-Mem"
"4462","NFIC::TLX1",-0.961856181163358,0.714933190303663,0,-0.362167555841055,"negative_significant",NA,"inconclusive","Tc-Mem"
"4463","NFIL3",-0.603428672637868,0.600506560966287,0,-0.355751473234709,"negative_significant",NA,"inconclusive","Tc-Mem"
"4467","NFYA",1.427890509296,-1.21361857425487,1e-04,-0.256417278090286,"negative_significant",NA,"inconclusive","Tc-Mem"
"4469","NFYC",1.36132501641005,-1.37018087841506,0,-0.287302207182149,"negative_significant",NA,"inconclusive","Tc-Mem"
"4470","NHLH1",-0.622402924009252,1.27246716882638,0,-0.359117956009379,"negative_significant","Little effect","Little effect","Tc-Mem"
"4471","NHLH2",-0.720138642645278,1.12051466547362,0,-0.38818702469551,"negative_significant","Little effect","Little effect","Tc-Mem"
"4482","NR1D1",-0.77793705607495,-1.13423183146847,0,0.412371505401196,"positive_significant",NA,"inconclusive","Tc-Mem"
"4489","NR2C1",-0.680463080811699,-1.18326272045156,0,-0.33082738646489,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4491","NR2F1",-1.00344845183014,-1.04383136487178,0,0.316984638828362,"positive_significant","MethylPlus","MethylPlus","Tc-Mem"
"4492","NR2F1",-1.00344845183014,-1.04383136487178,0,0.316984638828362,"positive_significant","MethylPlus","MethylPlus","Tc-Mem"
"4499","NR5A1",-0.882458984869943,-1.25870628039335,0,-0.253456303468019,"negative_significant",NA,"inconclusive","Tc-Mem"
"4500","NR6A1",-0.531748126763378,-1.23938636598605,0,0.289864687157793,"positive_significant",NA,"inconclusive","Tc-Mem"
"4513","OSR2",-0.727831416072181,0.668476488595685,0,-0.581995693069859,"negative_significant","inconclusive","inconclusive","Tc-Mem"
"4571","PRDM4",-0.643822058979685,0.532646058766147,0,-0.629913877336972,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4576","RARA",-0.762678657861033,-1.14855223695257,0,0.459632970490674,"positive_significant","MethylPlus","MethylPlus","Tc-Mem"
"4578","RARA::RXRG",-0.920050373077705,-0.872065762831786,0,-0.364635034692944,"negative_significant",NA,"inconclusive","Tc-Mem"
"4581","RBPJ",-0.559445683757795,-0.766669683770447,9e-04,-0.203241514853489,"negative_significant",NA,"inconclusive","Tc-Mem"
"4585","REST",-0.803838960993254,-0.538082067393731,0,-0.268984205266186,"negative_significant",NA,"inconclusive","Tc-Mem"
"4598","RUNX2",0.997322946901279,0.698470281242217,0,0.423721908119886,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4613","SNAI1",-1.30869547881285,-0.727274803388592,0,-0.354214877877331,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4614","SNAI1",-1.30869547881285,-0.727274803388592,0,-0.354214877877331,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4615","SNAI1",-1.30869547881285,-0.727274803388592,0,-0.354214877877331,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4616","SNAI2",-1.30525499929122,-0.703078138728776,0.00215,-0.188133785810721,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4617","SNAI3",-1.27002210148368,-0.551886924601345,0,-0.305936454449671,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4630","SP1",0.94577149535596,-0.840293922272523,0.0019,0.190805293921681,"positive_significant","MethylPlus","MethylPlus","Tc-Mem"
"4632","SP3",0.57869314679957,-1.34072438174679,0.03715,0.127968745267876,"positive_significant","Little effect","Little effect","Tc-Mem"
"4633","SP4",0.84422054612536,-1.00723024720715,0,0.284084283211739,"positive_significant",NA,"inconclusive","Tc-Mem"
"4635","SP9",0.643686148203583,-1.10662369031289,0.02775,0.134632213350846,"positive_significant","Little effect","Little effect","Tc-Mem"
"4636","SPDEF",0.985054684955224,1.1722159490783,0,0.501441116040047,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4637","SPDEF",0.985054684955224,1.1722159490783,0,0.501441116040047,"positive_significant","MethylMinus","MethylMinus","Tc-Mem"
"4638","SPI1",-3.37404365515677,0.768135272262242,0,-0.714378165043731,"negative_significant",NA,"inconclusive","Tc-Mem"
"4639","SPIB",-3.89452812817564,0.744881474950835,0,-0.708474068359366,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4640","SPIB",-3.89452812817564,0.744881474950835,0,-0.708474068359366,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4641","SPIB",-3.89452812817564,0.744881474950835,0,-0.708474068359366,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4642","SPIC",-3.15901130333305,0.849527882624645,0,-0.714942433463349,"negative_significant",NA,"inconclusive","Tc-Mem"
"4645","SREBF2",-0.502111535171423,0.52909246074011,0,-0.608588994215452,"negative_significant","MethylMinus","MethylMinus","Tc-Mem"
"4652","TBR1",1.40392564507849,-1.32992707292536,0,-0.648928766690948,"negative_significant",NA,"inconclusive","Tc-Mem"
"4655","TBX18",0.828684832560239,-1.23000785057825,0,-0.75322023523936,"negative_significant",NA,"inconclusive","Tc-Mem"
"4657","TBX2",1.47850778876782,-1.2565963447818,0,-0.585964699750224,"negative_significant",NA,"inconclusive","Tc-Mem"
"4658","TBX20",1.19150580982668,-1.28454787886388,0,-0.479749617843634,"negative_significant","MethylPlus","MethylPlus","Tc-Mem"
"4659","TBX21",1.22052108727218,-1.2216295736694,0,-0.648236342392976,"negative_significant",NA,"inconclusive","Tc-Mem"
"4660","TBX3",0.949606756207038,-1.25480196556569,0,-0.733573492773698,"negative_significant",NA,"inconclusive","Tc-Mem"
"4661","TBX4",0.524091082699406,-1.08222296087294,0,-0.605745974008585,"negative_significant",NA,"inconclusive","Tc-Mem"
"4663","TBX6",1.1397493288708,-1.25508654882166,0,-0.713764164492214,"negative_significant",NA,"inconclusive","Tc-Mem"
"4697","TWIST1",-1.00183090182177,0.705564572506389,0,-0.61783917074858,"negative_significant",NA,"inconclusive","Tc-Mem"
"4712","YY1",1.52211926995362,-0.553338568628195,0,-0.494742580428174,"negative_significant","inconclusive","inconclusive","Tc-Mem"
